backtest_date,symbol,entry_date,entry_price,exit_date,exit_price,pct_gain,outcome,hold_days,score,years_window,min_score,take_profit_pct,stop_loss_pct
2026-03-03,HIMS,2023-09-25,6.05,2023-11-08,7.03,16.2,TP,44,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2024-05-03,11.8,2024-05-15,14.0,18.64,TP,12,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2024-08-06,16.8,2024-08-15,15.9,-5.36,SL,9,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2024-08-15,15.66,2024-09-04,14.33,-8.49,SL,20,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2024-09-04,14.49,2024-09-20,16.81,16.01,TP,16,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2025-04-22,27.0,2025-04-30,33.73,24.93,TP,8,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2025-08-19,42.49,2025-09-09,49.97,17.6,TP,21,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2025-11-07,42.495,2025-11-13,38.95,-8.34,SL,6,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2025-11-13,35.425,2026-01-02,33.0,-6.85,SL,50,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-01-02,33.96,2026-01-15,31.6,-6.95,SL,13,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-01-15,31.25,2026-01-22,29.45,-5.76,SL,7,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-01-22,30.14,2026-02-02,27.11,-10.05,SL,11,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-02-02,26.55,2026-02-05,26.8,0.94,SL,3,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-02-05,22.3,2026-02-10,18.7,-16.14,SL,5,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-02-10,17.52,2026-02-13,16.11,-8.05,SL,3,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2026-02-13,16.3,2026-03-02,14.51,-10.98,SL,17,4,3,3,0.1500,0.0700
2026-03-03,RTX,2023-08-03,85.05,2023-09-12,74.7,-12.17,SL,40,4,3,3,0.1500,0.0700
2026-03-03,RTX,2023-09-12,75.56,2023-10-05,70.16,-7.15,SL,23,4,3,3,0.1500,0.0700
2026-03-03,RTX,2023-10-05,69.1,2023-11-01,82.0,18.67,TP,27,4,3,3,0.1500,0.0700
2026-03-03,RTX,2025-04-04,113.83,2025-05-16,135.705,19.22,TP,42,3,3,3,0.1500,0.0700
2026-03-03,MRK,2023-09-29,99.3785,2024-01-10,115.05,15.77,TP,103,3,3,3,0.1500,0.0700
2026-03-03,MRK,2024-07-30,114.314,2024-10-22,105.059,-8.1,SL,84,3,3,3,0.1500,0.0700
2026-03-03,MRK,2024-10-24,105.644,2024-11-13,97.5392,-7.67,SL,20,3,3,3,0.1500,0.0700
2026-03-03,MRK,2024-11-13,98.442,2025-02-05,90.39,-8.18,SL,84,3,3,3,0.1500,0.0700
2026-03-03,MRK,2025-02-05,89.41,2025-02-18,81.13,-9.26,SL,13,4,3,3,0.1500,0.0700
2026-03-03,MRK,2025-02-18,83.24,2025-04-17,76.89,-7.63,SL,58,4,3,3,0.1500,0.0700
2026-03-03,MRK,2025-04-17,78.08,2025-10-02,89.95,15.2,TP,168,4,3,3,0.1500,0.0700
2026-03-03,UNH,2024-01-25,480.199,2024-04-05,440.463,-8.27,SL,71,3,3,3,0.1500,0.0700
2026-03-03,UNH,2024-04-05,445.63,2024-05-20,512.732,15.06,TP,45,4,3,3,0.1500,0.0700
2026-03-03,UNH,2024-12-06,545.777,2024-12-17,481.51,-11.78,SL,11,3,3,3,0.1500,0.0700
2026-03-03,UNH,2024-12-17,480.521,2025-04-10,576.145,19.9,TP,114,3,3,3,0.1500,0.0700
2026-03-03,UNH,2025-04-17,446.59,2025-04-30,406.142,-9.06,SL,13,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-04-30,408.421,2025-05-12,378.314,-7.37,SL,12,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-05-12,333.368,2025-05-14,319.184,-4.25,SL,2,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-05-14,272.962,2025-05-21,298.878,9.49,TP,7,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-05-21,291.928,2025-07-30,264.375,-9.44,SL,70,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-07-30,261.4,2025-08-04,238.24,-8.86,SL,5,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-08-04,241.16,2025-08-18,313.175,29.86,TP,14,4,3,3,0.1500,0.0700
2026-03-03,UNH,2025-11-04,326.3,2026-01-28,283.72,-13.05,SL,85,3,3,3,0.1500,0.0700
2026-03-03,UNH,2026-01-28,294.33,2026-02-06,267.08,-9.26,SL,9,4,3,3,0.1500,0.0700
2026-03-03,UNH,2026-02-06,274.15,2026-03-02,294.93,7.58,OPEN,24,4,3,3,0.1500,0.0700
2026-03-03,IBM,2024-04-25,167.5,2024-08-16,193.58,15.57,TP,113,3,3,3,0.1500,0.0700
2026-03-03,IBM,2025-04-04,218.57,2025-05-08,255.0,16.67,TP,34,3,3,3,0.1500,0.0700
2026-03-03,IBM,2025-07-24,260.01,2025-08-12,237.8,-8.54,SL,19,3,3,3,0.1500,0.0700
2026-03-03,IBM,2025-08-12,236.205,2025-09-24,272.4,15.32,TP,43,3,3,3,0.1500,0.0700
2026-03-03,IBM,2026-02-12,259.99,2026-02-24,227.8,-12.38,SL,12,3,3,3,0.1500,0.0700
2026-03-03,IBM,2026-02-24,234.145,2026-03-02,239.37,2.23,OPEN,6,4,3,3,0.1500,0.0700
2026-03-03,AXP,2023-09-22,152.21,2023-10-30,142.72,-6.23,SL,38,3,3,3,0.1500,0.0700
2026-03-03,AXP,2024-06-13,221.38,2024-08-28,254.21,14.83,TP,76,3,3,3,0.1500,0.0700
2026-03-03,AXP,2025-02-25,295.5,2025-03-10,267.715,-9.4,SL,13,3,3,3,0.1500,0.0700
2026-03-03,AXP,2025-03-10,257.5,2025-04-07,225.285,-12.51,SL,28,3,3,3,0.1500,0.0700
2026-03-03,AXP,2025-04-07,245.83,2025-05-09,285.365,16.08,TP,32,4,3,3,0.1500,0.0700
2026-03-03,AXP,2026-02-13,338.725,2026-03-02,303.2,-10.49,SL,17,3,3,3,0.1500,0.0700
2026-03-03,V,2023-09-26,227.644,2024-01-11,263.004,15.53,TP,107,3,3,3,0.1500,0.0700
2026-03-03,V,2025-04-04,302.07,2025-05-05,347.0,14.87,TP,31,3,3,3,0.1500,0.0700
2026-03-03,V,2025-06-20,337.5,2026-02-24,305.5,-9.48,SL,249,3,3,3,0.1500,0.0700
2026-03-03,V,2026-02-24,308.55,2026-03-02,320.51,3.88,OPEN,6,4,3,3,0.1500,0.0700
2026-03-03,JNJ,2023-09-06,159.14,2023-10-30,146.09,-8.2,SL,54,3,3,3,0.1500,0.0700
2026-03-03,JNJ,2023-10-30,147.54,2025-08-05,170.017,15.23,TP,645,3,3,3,0.1500,0.0700
2026-03-03,GE,2024-12-12,165.65,2025-01-24,202.5,22.25,TP,43,3,3,3,0.1500,0.0700
2026-03-03,GE,2025-04-04,163.21,2025-04-23,195.5,19.78,TP,19,3,3,3,0.1500,0.0700
