date,time,symbol,dip_score,is_dip,fund_pass,price,ma50,ma200,rsi,week52_pct,fcf_usd,fcf_yield_pct,profit_margin_pct,debt_to_equity,roe_pct,pe,price_source,fail_reasons
2026-03-09,11:08:46,TMO,2,False,True,498.18,515.24,567.83,31.5,43,6927000000,,13.99,,12.1,,IBKR,
2026-03-09,11:08:46,COST,0,False,False,996.36,995.83,932.26,54.0,72,6745000000,1.53,2.60,1.96,26.6,70.2,IBKR,PE=70.2 > MAX_PE_RATIO=60.0; profitMargin=2.6% < MIN=5.0%; FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:08:46,ISRG,1,False,False,485.53,495.81,533.57,38.4,34,1660100000,0.96,25.24,0.13,10.9,96.3,IBKR,PE=96.3 > MAX_PE_RATIO=60.0; FCF yield=0.96% < MIN=1.50%
2026-03-09,11:24:35,NVDA,1,False,False,179.00,185.84,185.74,43.8,75,28012399000,0.64,272.58,1.46,134.7,147.2,IBKR,PE=147.2 > MAX_PE_RATIO=60.0; FCF yield=0.64% < MIN=1.50%
2026-03-09,11:24:35,TSLA,2,False,False,386.84,408.96,434.12,37.1,62,4357000000,0.35,15.50,0.66,20.6,83.0,IBKR,PE=83.0 > MAX_PE_RATIO=60.0; FCF yield=0.35% < MIN=1.50%; Capex/FCF=204.25% > MAX=75.00%
2026-03-09,11:24:35,BAC,3,True,False,46.89,51.40,52.79,28.7,57,44982000000,12.60,25.60,10.86,9.6,13.6,IBKR,ROE=9.6% < MIN=10.0%
2026-03-09,11:24:35,MSFT,1,False,True,407.24,401.16,466.48,46.5,29,59475000000,1.96,34.15,1.18,35.1,42.0,IBKR,
2026-03-09,11:24:35,XOM,0,False,True,152.28,150.45,126.53,61.2,96,33450000000,5.38,14.09,0.69,13.7,17.3,IBKR,
2026-03-09,11:24:35,TSM,1,False,True,335.58,364.31,316.66,39.5,79,,,,,,,IBKR,
2026-03-09,11:24:35,AVGO,1,False,False,339.24,329.91,347.58,56.2,73,17633000000,1.11,32.09,3.68,43.1,138.3,IBKR,PE=138.3 > MAX_PE_RATIO=60.0; D/E=3.68 > MAX=3.0 (non-financial); FCF yield=1.11% < MIN=1.50%
2026-03-09,11:24:35,NOW,2,False,False,122.85,108.78,147.58,59.9,21,2704000000,2.13,19.30,2.14,34.4,73.3,IBKR,PE=73.3 > MAX_PE_RATIO=60.0
2026-03-09,11:24:35,WFC,3,True,True,77.10,85.69,87.94,29.8,48,40358000000,13.65,21.66,9.76,10.7,15.4,IBKR,
2026-03-09,11:24:35,CSCO,1,False,True,75.53,79.46,76.21,40.7,67,19037000000,6.29,22.13,1.99,31.7,24.0,IBKR,
2026-03-09,11:24:35,SAP,2,False,True,198.90,201.46,235.65,43.1,3,,,,,,,IBKR,
2026-03-09,11:24:35,PG,0,False,True,154.63,160.10,148.90,44.7,51,13786000000,,17.87,1.53,31.3,,IBKR,
2026-03-09,11:24:35,HIMS,2,False,False,21.79,16.40,33.16,58.0,14,70100000,,-2.70,0.74,-7.6,,IBKR,profitMargin=-2.7% < MIN=5.0%; ROE=-7.6% < MIN=10.0%
2026-03-09,11:24:35,RTX,0,False,False,208.60,202.44,185.07,58.4,96,5468000000,1913.27,4.64,1.68,5.3,0.1,IBKR,profitMargin=4.6% < MIN=5.0%; ROE=5.3% < MIN=10.0%
2026-03-09,11:24:35,MRK,0,False,False,116.29,120.26,103.57,46.4,85,9143000000,,0.61,,0.8,,IBKR,profitMargin=0.6% < MIN=5.0%; FCF grew in fewer than 2 of last 3 year(s); ROE=0.8% < MIN=10.0%
2026-03-09,11:24:35,UNH,2,False,True,284.03,283.82,318.75,44.8,15,25682000000,9.88,6.02,6.92,79.1,11.6,IBKR,
